,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
224,4,1,126.0,930000,"Sunnyside, 102 Clontarf Road, Clontarf, Dublin 3",Semi-D,no,11
225,9,6,561.0,2500000,"South Hill House, Merrion Park, Blackrock, Co. Dublin",Detached,no,11
226,3,4,,310000,"15 Millbourne Park, Ashbourne, Co. Meath",Duplex,no,11
227,4,3,124.0,575000,"15 Danieli Drive, Artane, Artane, Dublin 5",Semi-D,no,11
228,4,2,131.0,Price on Application,"24 Hawthorn Drive, Crinkle, Birr, Co. Offaly",Semi-D,no,11
229,3,3,86.0,225000,"29 Gleann Tuarigh, Chickley's Road, Youghal, Co. Cork",Semi-D,no,11
230,4,4,155.0,399500,"7 Rose Lawn, Rose Hill, Kilkenny, Co. Kilkenny",Detached,no,11
231,4,5,212.0,595000,"Commeen, Carrigaline, Co. Cork",Detached,no,11
232,5,5,,595000,"Grangehiggin, Naas, Co. Kildare",Detached,no,11
233,4,2,125.0,390000,"Primrose Cottage, Wicklow Town, Co. Wicklow",Detached,no,11
234,4,2,179.0,400000,"Carrowhubbock South, Enniscrone, Co. Sligo",Detached,no,11
235,5,5,260.0,739000,"9 The Fairways, Faithlegg, Co. Waterford",Detached,no,11
236,3,1,87.0,450000,"7 The Wood, Crinken Glen, Shankill, Dublin 18",Semi-D,no,11
237,4,1,87.0,180000,"Aghada, Co. Cork",Detached,no,11
238,2,2,72.0,350000,"45 Charlesland Wood, Charlesland, Greystones, Co. Wicklow",Terrace,no,11
239,4,2,135.0,895000,"6 The Stiles Road, Clontarf, Clontarf, Dublin 3",Semi-D,no,11
240,1,1,48.0,285000,"Bethany, 18 Saint Joseph's Square, Dublin 3",Apartment,no,12
241,4,2,123.0,375000,"85 Rosehill, Wicklow Town, Co. Wicklow",Detached,no,12
242,2,1,45.0,295000,"90 Rialto Cottages, Rialto, Rialto, Dublin 8",Terrace,no,12
243,3,3,102.0,350000,"19 Saint Samson's Square, Balgriffin, Dublin 13",End of Terrace,no,12
244,3,3,102.0,210000,"107 Woodfield, Galway Road, Tuam, Co. Galway",Semi-D,no,12
245,3,1,70.0,195000,"16 Centenary Row, St. Lukes, Cork City, Cork City, Co. Cork",Terrace,no,12
246,4,2,180.0,895000,"21 Carrickbrack Lawn, Sutton, Sutton, Dublin 13",Detached,no,12
247,4,3,218.0,1775000,"20 Lad Lane Upper, Dublin 2",Terrace,no,12
248,3,2,158.0,550000,"Mooretown, Ardcath, Co. Meath",Detached,no,12
249,5,5,204.0,430000,"Mountrivers, Rylane, Co. Cork",Detached,no,12
250,4,2,138.0,249000,"1 Annagheran Lodge, Annaghieran, Shercock, Co. Cavan",Detached,no,12
251,4,3,118.0,475000,"2 Mount Symon Rise, Clonsilla, Clonsilla, Dublin 15",Detached,no,12
252,3,3,109.0,485000,"41 Beresford Court, Donabate, Co. Dublin",Semi-D,no,12
253,4,2,190.0,650000,"Remount Farm, Racecourse Commons, Lusk, Co. Dublin",Detached,no,12
254,4,3,220.0,1170000,"29 Clonkeen Road, Blackrock, Co. Dublin",Semi-D,no,12
255,4,3,,380000,"20 Riverside Grove, Newbridge, Co. Kildare",Semi-D,no,12
256,3,2,,193000,"6 Thornbrook, The Ballagh, Co. Wexford",Semi-D,no,12
257,3,4,154.0,595000,"57 Drumnigh Manor, Portmarnock, Co. Dublin",Terrace,no,12
258,4,3,120.0,299000,"27 Village Gate, Ballycanew, Co. Wexford",Semi-D,no,12
259,3,2,149.0,130000,"16 Church Street, Tipperary Town, Co. Tipperary",Townhouse,no,12
260,8,5,299.0,625000,"Hill House, Palmers Hill, Cashel, Co. Tipperary",Detached,no,13
261,5,3,223.0,1350000,"87 Haddington Road, Dublin 4",Terrace,no,13
262,4,3,,475000,"7 Blackthorn Drive, Grantstown Village, Grantstown, Co. Waterford",Detached,no,13
263,3,3,87.0,215000,"3 The Walk, Fairfield Park, Waterford City, Co. Waterford",Semi-D,no,13
264,3,2,87.0,240000,"Apartment 11 Marlfield Mall, Kiltipper Way, Tallaght, Dublin 24",Apartment,no,13
265,4,3,136.0,375000,"13 Dun Emer Road, Lusk, Co. Dublin",Semi-D,no,13
266,4,3,98.0,350000,"23A The Drive, St. Catherine's Estate, Rush, Co. Dublin",Detached,no,13
267,5,3,,650000,"Cove Park, Tramore, Co. Waterford",Detached,no,13
268,4,4,227.0,595000,"Glinny, Riverstick, Co. Cork",Detached,no,13
269,3,3,134.0,300000,"55 Curragh Finn, Rathbride Road, Kildare, Co. Kildare",Semi-D,no,13
270,3,2,92.0,400000,"26 Saint Pappin Green, Ballymun, Glasnevin, Dublin 11",Semi-D,no,13
271,2,2,108.0,520000,"Loughmahon View, The Close, Rochestown, Co. Cork",Detached,no,13
272,5,3,135.0,345000,"1E Edgeworth Court, Longwood, Enfield, Co. Meath",Detached,no,13
273,4,3,6879.527336004209,745000,"The Old School House, Avoca, Co. Wicklow",Detached,no,13
274,4,3,149.0,525000,"10 Cúl Aitinn, Clybaun Road, Galway City, Co. Galway",Detached,no,13
275,2,1,60.0,250000,"6 The Jetty, Kellys Bay, Skerries, Co. Dublin",Apartment,no,13
276,2,1,54.0,169000,"4 Saint Peter Street, Limerick City, Co. Limerick",Semi-D,no,13
277,4,2,,210000,"Glencollins Lower, Ballydesmond, Co. Cork",Bungalow,no,13
